category,city,company_name,job_title,job_type,post_date,salary_offered,lat,lng,state
Information & Communication Technology,Darwin,NEC Australia Pty Ltd,Senior Systems Engineer - Cloud and Collaboration,Contract/Temp,2018-04-15,,-12.4381,130.8411,Northern Territory
"Manufacturing, Transport & Logistics",Sydney,Front-line Resources Management P/L,Import Airfreight Operator,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Accounting,Melbourne,Hays Accountancy & Finance,Financial Analyst ,Contract/Temp,2018-04-15,,-37.8136,144.9631,Victoria
Sales,Bendigo,PFD Food Services Pty Ltd,Sales Representative,Full Time,2018-04-16,,-36.75,144.2667,Victoria
Information & Communication Technology,Sydney,Private Advertiser,Application Support / Help Desk Consultant,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Information & Communication Technology,Canberra,Clicks IT Recruitment,Test Lead,Contract/Temp,2018-04-16,,-35.2931,149.1269,Australian Capital Territory
Trades & Services,Melbourne,Turbo Staff,"Kiwi Electrician's coming home, Relocate to Christchurch",Full Time,2018-04-15,NZD Up to $35ph DOE,-37.8136,144.9631,Victoria
Trades & Services,Newcastle,The Local Bloke Lawn & Garden Care,Lawn & Garden Care Position,Casual/Vacation,2018-04-16,,-32.9167,151.75,New South Wales
Administration & Office Support,Sydney,Sydney Shoulder and Elbow Specialists,Medical Receptionist/ Personal Assistant,Part Time,2018-04-15,,-33.865,151.2094,New South Wales
"Manufacturing, Transport & Logistics",Melbourne,TAXIBOX,HR Driver back-up & Warehouse position,Full Time,2018-04-15,Competitive package for the right candidate.,-37.8136,144.9631,Victoria
Administration & Office Support,Melbourne,Private Advertiser,Administration officer/Operations assistant,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Marketing & Communications,Brisbane,Humanised Group,Marketing & Sales Coordinator,Full Time,2018-04-16,$50-60k + bonus +super,-27.4678,153.0281,Queensland
Information & Communication Technology,Brisbane,Ajilon,Technical Consultant- Canberra location,Contract/Temp,2018-04-16,,-27.4678,153.0281,Queensland
Trades & Services,Melbourne,Private Advertiser,Air Conditioning & Refrigeration Service Technician / Sub Contractor,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Healthcare & Medical,Melbourne,St. Vincentâ€™s Hospital Melbourne (Ltd),Grade 2 Registered Nurse,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Healthcare & Medical,Sydney,Ashley & Martin Pty Ltd,Receptionist and Administrative Assistant - Australia's leading Medical Hair Co.,Full Time,2018-04-16,$21.30/hr plus Saturday rates & target bonuses,-33.865,151.2094,New South Wales
Trades & Services,Brisbane,Private Advertiser,Boilermaker,Contract/Temp,2018-04-15,,-27.4678,153.0281,Queensland
Trades & Services,Sydney,Pacific Hydraulics Pty Ltd,Hydraulic Service Technician - Seven Hills Operation,Full Time,2018-04-15,,-33.865,151.2094,New South Wales
Legal,Gold Coast,Di-mention Recruitment,SENIOR LITIGATION LAWYER,Full Time,2018-04-16,NEGOTIABLE ON EXPERIENCE!,-28.0167,153.4,Queensland
Information & Communication Technology,Melbourne,Aurec,MEAN Stack Developer - 4 month contract,Contract/Temp,2018-04-16,,-37.8136,144.9631,Victoria
Information & Communication Technology,Melbourne,Genesis IT&T P/L,Business Analyst - 9 month contract - Gold Coast,Contract/Temp,2018-04-15,,-37.8136,144.9631,Victoria
Accounting,Adelaide,Business Initiatives,SMSF Accountant,Full Time,2018-04-16,,-34.9289,138.6011,South Australia
Information & Communication Technology,Sydney,Attribute Consulting,Test Automation Engineer - Selenium Webdriver,Full Time,2018-04-15,,-33.865,151.2094,New South Wales
Administration & Office Support,Melbourne,Logical Staffing Solutions,Data Entry Roles - Transport Industry,Contract/Temp,2018-04-16,,-37.8136,144.9631,Victoria
Information & Communication Technology,Canberra,GMT People,Service Desk Operator,Contract/Temp,2018-04-16,Attractive Rate,-35.2931,149.1269,Australian Capital Territory
Healthcare & Medical,Gold Coast,Bupa Aged Care Australia,Registered Nurse (Tugun),Full Time,2018-04-15,,-28.0167,153.4,Queensland
"Manufacturing, Transport & Logistics",Sydney,Labourforce,Extrusion Machine Operator - Plastic Manufacturing ,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Government & Defence,Mildura,Department of Education and Training,Early Childhood Support Officer,Part Time,2018-04-16,"$65,713 - $79,790 + SUPER",-34.1889,142.1583,Victoria
Education & Training,Brisbane,Queensland University of Technology,"Clinic Coordinator - Optometry, School of Optometry and Vision Science",Full Time,2018-04-16,"Remuneration range: $129,393 to $135,554 pa (HEW9)",-27.4678,153.0281,Queensland
Trades & Services,Perth,Turbo Staff,Kiwi's Coming Home! Electrical Foreman / Supervisor - CHC,Full Time,2018-04-15,Up to $40ph DOE,-31.9522,115.8589,Western Australia
Information & Communication Technology,Sydney,Davidson Technology,Dev Ops Engineer,Contract/Temp,2018-04-16,,-33.865,151.2094,New South Wales
Community Services & Development,Perth,Matchworks,Employment Consultant (DES) Eastern Metro Western Australia,Full Time,2018-04-16,,-31.9522,115.8589,Western Australia
Accounting,Gold Coast,Remedy Resourcing,Interim Project / Cost Accountant,Contract/Temp,2018-04-16,"c$80,000 - $110,000",-28.0167,153.4,Queensland
Government & Defence,Brisbane,C&K Association,Internal Recruitment Advisor,Full Time,2018-04-16,,-27.4678,153.0281,Queensland
